case_id,tenant,channel,locale,intent,priority,input,chat_json,expected_behavior,ideal_answer,disallowed_content,required_actions,tools_allowed,routing_hint,rag_collection,rag_query,source_urls,source_titles,source_ids,policy_refs,tags,eval_notes
REACH-0001,tenant_02,webchat,en-CA,login_auth,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `login_auth` in tenant `tenant_02`. Correlation ID: rc_b1c832bc34. CLI version reach 1.1.1.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach login auth`. Error: HTTP 401 or config validation failure. Running on Ubuntu 22.04 with Node 20.1.1.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `login_auth`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `login_auth`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,login_auth troubleshooting correlation rc_b1c832bc34,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_7913523027,reach_support_policy_v1,"login_auth,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0002,tenant_03,webchat,en-CA,api_keys,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `api_keys` in tenant `tenant_03`. Correlation ID: rc_23862f0d37. CLI version reach 1.2.2.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach api keys`. Error: HTTP 402 or config validation failure. Running on Ubuntu 22.04 with Node 20.2.2.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `api_keys`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `api_keys`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,api_keys troubleshooting correlation rc_23862f0d37,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_71b8a5881a,reach_support_policy_v1,"api_keys,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0003,tenant_04,webchat,en-CA,rag_setup,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `rag_setup` in tenant `tenant_04`. Correlation ID: rc_0677fdc917. CLI version reach 1.3.3.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach rag setup`. Error: HTTP 403 or config validation failure. Running on Ubuntu 22.04 with Node 20.3.3.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `rag_setup`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `rag_setup`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,rag_setup troubleshooting correlation rc_0677fdc917,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_7d1fd2fc4e,reach_support_policy_v1,"rag_setup,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0004,tenant_05,webchat,en-CA,rag_quality,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `rag_quality` in tenant `tenant_05`. Correlation ID: rc_b8ffa2f3bc. CLI version reach 1.4.4.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach rag quality`. Error: HTTP 404 or config validation failure. Running on Ubuntu 22.04 with Node 20.4.4.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `rag_quality`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `rag_quality`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,rag_quality troubleshooting correlation rc_b8ffa2f3bc,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_0b76b5b0a4,reach_support_policy_v1,"rag_quality,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0005,tenant_06,webchat,en-CA,mcp_setup,P1,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `mcp_setup` in tenant `tenant_06`. Correlation ID: rc_3ee457e5e4. CLI version reach 1.5.5.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach mcp setup`. Error: HTTP 405 or config validation failure. Running on Ubuntu 22.04 with Node 20.5.5.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `mcp_setup`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `mcp_setup`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,mcp_setup troubleshooting correlation rc_3ee457e5e4,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_c55c537c35,reach_support_policy_v1,"mcp_setup,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0006,tenant_07,webchat,en-CA,pack_install,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `pack_install` in tenant `tenant_07`. Correlation ID: rc_65fc5ff9aa. CLI version reach 1.6.6.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach pack install`. Error: HTTP 406 or config validation failure. Running on Ubuntu 22.04 with Node 20.6.6.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `pack_install`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `pack_install`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,pack_install troubleshooting correlation rc_65fc5ff9aa,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_6df658e590,reach_support_policy_v1,"pack_install,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0007,tenant_08,webchat,en-CA,pack_publish,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `pack_publish` in tenant `tenant_08`. Correlation ID: rc_7f79d34bd6. CLI version reach 1.7.7.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach pack publish`. Error: HTTP 407 or config validation failure. Running on Ubuntu 22.04 with Node 20.0.7.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `pack_publish`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `pack_publish`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,pack_publish troubleshooting correlation rc_7f79d34bd6,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_390415889a,reach_support_policy_v1,"pack_publish,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0008,tenant_09,webchat,en-CA,agent_runtime,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `agent_runtime` in tenant `tenant_09`. Correlation ID: rc_a4c004c302. CLI version reach 1.8.8.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach agent runtime`. Error: HTTP 408 or config validation failure. Running on Ubuntu 22.04 with Node 20.1.8.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `agent_runtime`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `agent_runtime`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,agent_runtime troubleshooting correlation rc_a4c004c302,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_278522d654,reach_support_policy_v1,"agent_runtime,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0009,tenant_01,webchat,en-CA,rate_limits,P2,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `rate_limits` in tenant `tenant_01`. Correlation ID: rc_a967d55956. CLI version reach 1.9.9.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach rate limits`. Error: HTTP 409 or config validation failure. Running on Ubuntu 22.04 with Node 20.2.0.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `rate_limits`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `rate_limits`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,rate_limits troubleshooting correlation rc_a967d55956,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_dbd2eed811,reach_support_policy_v1,"rate_limits,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
REACH-0010,tenant_02,webchat,en-CA,billing_invoices,P1,,"{""messages"": [{""role"": ""system"", ""content"": ""You are Reach Support. Provide concise, technical, secure answers. Use RAG grounding. Never fabricate account status. Escalate security risks.""}, {""role"": ""user"", ""content"": ""We're seeing an issue related to `billing_invoices` in tenant `tenant_02`. Correlation ID: rc_6a3f197e74. CLI version reach 1.0.10.""}, {""role"": ""assistant"", ""content"": ""Understood. Please share the exact command run and the full error output. Also confirm your OS, Node version, and whether this is local or CI.""}, {""role"": ""user"", ""content"": ""Command: `reach billing invoices`. Error: HTTP 410 or config validation failure. Running on Ubuntu 22.04 with Node 20.3.1.""}, {""role"": ""assistant"", ""content"": ""Based on the error and intent `billing_invoices`, here are steps:\n1) Validate configuration via `reach doctor --full`.\n2) Confirm environment variables are set correctly.\n3) If auth-related, run `reach logout && reach login`.\n4) If pack/RAG-related, validate config schema and collection names.\n5) Retry command and monitor correlation ID in logs.\nIf issue persists, create support ticket including correlation ID.""}]}",Provide structured troubleshooting steps grounded in Reach docs; avoid fabrication; escalate if security-related.,"Based on the error and intent `billing_invoices`, here are steps:
1) Validate configuration via `reach doctor --full`.
2) Confirm environment variables are set correctly.
3) If auth-related, run `reach logout && reach login`.
4) If pack/RAG-related, validate config schema and collection names.
5) Retry command and monitor correlation ID in logs.
If issue persists, create support ticket including correlation ID.",No fabricated billing/account status; no insecure workarounds.,Collect logs; validate config; confirm env vars; retry; escalate if unresolved.,"reach_doctor,account_lookup,rag_search,ticket_create",Escalate to human if repeated 500s or security incident.,reach_docs,billing_invoices troubleshooting correlation rc_6a3f197e74,https://docs.reach.dev/guides/troubleshooting,Reach Troubleshooting Guide,doc_9abd89dfff,reach_support_policy_v1,"billing_invoices,troubleshooting,cli",Ensure multi-turn continuity and correct command references.
